Title,Director,Category,Year ,Rating,Roger Ebert
The Shawshank Redemption,Frank Darabont,Drama,1994,4,4
The Silence of the Lambs,Jonathan Demme,Crime,1991,4,4
Indiana Jones and the Last Crusade,Steven Spielberg,Adventure,1989,4,3.5
Full Metal Jacket,Stanley Kubric,War,1987,4,2.5
Aliens,James Cameron,Horror,1986,4,3.5
Once Apon a Time in America,Sergio Leone,Drama,1984,4,4
Blade Runner,Ridley Scott,Drama,1982,4,4
Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,Adventure,1981,4,4
Airplane,Jim Abrahams,Comedy ,1980,4,3
The Shining,Stanley Kubric,Horror,1980,4,4
Alien ,Ridley Scott,Horror,1979,4,4
Cross of Iron,Sam Peckinpah,War,1977,4,
Network,Sidney Lumet,Drama,1976,4,4
Barry Lyndon,Stanley Kubric,Drama,1975,4,4
Blazing Saddles,Mel Brooks,Comedy ,1974,4,4
Chinatown,Roman Polanski,Noir,1974,4,4
Kelly's Heros,Brian G. Hutton,War,1970,4,
"The Good, The Bad, and the Ugly",Sergio Leone,Action,1968,4,4
The Graduate,Mike Nicholas,Comedy ,1967,4,4
Repulsion,Roman Polanski,Psychological,1965,4,
The Great Escape,John Sturges,Adventure,1963,4,
La Strada,Federico Fellini,Drama,1954,4,3.5
Rear Window,Alfred Hitchcock ,Suspense,1954,4,4
Casablanca,Michael Curtiz,Drama,1942,4,4
Citizen Kane,Orson Welles,Drama,1941,4,4
Battleship Potemkin,Sergei Eisenstein,Drama,1925,4,4
Annihilation,Alex Garland,Horror,2018,4.5,3.5
Burning,Lee Chang-Dong,Drama,2018,4.5,4
Hereditary  ,Ari Aster,Psychological,2018,4.5,4
Won't You Be My Neighbor ,Morgan Neville,Documetary ,2018,4.5,3.5
Get Out,Jordan Peele,Horror,2017,4.5,3
Lady Bird,Greta Gerwig,Comingofage,2017,4.5,3.5
Moonlight,Berry Jenkins,Comingofage,2016,4.5,4
Nocturnal Animals,Tom Ford,Psychological,2016,4.5,3.5
Silence,Martin Scorsese,Drama,2016,4.5,4
The Lobster,Yorgos Lanthimos,Comedy ,2016,4.5,3.5
Sicario,Denis Villeneuve,Crime,2015,4.5,3
Cloud Atlas,Lana Wachowski,Romance,2012,4.5,4
We Need to Talk About Kevin,Lynne Ramsay,Suspense,2012,4.5,4
Drive,Nicolas Winding Refn,Crime,2011,4.5,4
Inception,Christopher Nolan,Action,2010,4.5,4
Shutter Island,Martin Scorsese,Suspense,2010,4.5,3.5
The Girl With the Dragon Tattoo,Niels Arden Oplev,Drama,2010,4.5,4
The Social Network,David Fincher,Drama,2010,4.5,
Inglorious Bastards ,Quentin Tarentino,War,2009,4.5,4
There Will be Blood,Paul Thomas Anderson,Drama,2008,4.5,3.5
Lives of Others,Florian Henckel,Drama,2007,4.5,4
Downfall,Oliver Hirschbiegel,Drama,2005,4.5,4
Before Sunset,Richard Linklater,Romance,2004,4.5,3.5
Lilya-4-ever,Lukas Moodysson,Drama,2003,4.5,3.5
The Pianist,Roman Polanski,Drama,2003,4.5,3.5
The Thin Red Line,Terrence Malick,War,1999,4.5,3
Pi,Darren Aronofsky ,Psychological,1998,4.5,3.5
Saving Private Ryan,Steven Spielberg,War,1998,4.5,4
Das Boot,Wolfgang Petersen,War,1997,4.5,4
Good Fellas,Martin Scorsese,Crime,1990,4.5,4
Come and See,Elem Klimov,War,1985,4.5,4
Apocalypse Now,Francis Ford Coppola,Psychological,1979,4.5,4
Annie Hall,Woody Allen,Comedy ,1977,4.5,4
Taxi Driver,Martin Scorsese,Psychological,1976,4.5,4
The Godfather Part 2,Francis Ford Coppola,Crime,1974,4.5,4
The Godfather,Francis Ford Coppola,Crime,1972,4.5,4
Patton,Franklin Schaffner,War ,1970,4.5,4
Dr. Strangelove or How I learned to Stop Worrying and Love the Bomb,Stanley Kubric,Comedy ,1964,4.5,4
Lawrence of Arabia,David Lean,War,1962,4.5,4
The Apartment,Billy Wilder,Romance,1960,4.5,4
12 Angry Men,Sidney Lumet,Drama,1957,4.5,4
Paths of Glory,Stanley Kubric,War,1957,4.5,4
The Killing,Stanley Kubric,Crime,1956,4.5,4
The Great Dictator,Charles Chaplin,Comedy ,1940,4.5,4
Mr. Smith Goes to Washington,Frank Capra,Drama,1939,4.5,
M,Fritz Lang,Drama,1931,4.5,4
Parasite,Bong Joon Ho,Drama,2019,5,4
The Lighthouse,Robert Eggers,Psychological,2019,5,3
Roma,Alfonso Cuaron,Drama,2018,5,4
The Favourite,Yorgos Lanthimos,Drama,2018,5,3.5
Blade Runner 2049,Denis Villeneuve,Drama,2017,5,3.5
Dunkirk,Christopher Nolan,War,2017,5,4
Phantom Thread,Paul Thomas Anderson,Drama,2017,5,4
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Drama,2017,5,4
Ex Machina,Alex Garland,Psychological,2015,5,4
A Hidden Life ,Terrence Malick,Drama,2019,5,
